#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.14198931020063	34.0	33.0	34.0	31.0	34.0
2	33.324058221640975	34.0	34.0	34.0	31.0	34.0
3	33.33764760005634	34.0	34.0	34.0	31.0	34.0
4	36.58950091750861	37.0	37.0	37.0	35.0	37.0
5	36.548294517350094	37.0	37.0	37.0	35.0	37.0
6	36.55219520895253	37.0	37.0	37.0	35.0	37.0
7	36.53322829256195	37.0	37.0	37.0	35.0	37.0
8	36.53173700863138	37.0	37.0	37.0	35.0	37.0
9	38.39897697057557	39.0	39.0	39.0	37.0	39.0
10-14	38.72795372440685	39.4	39.2	39.4	37.2	39.4
15-19	40.00723878161052	41.0	40.0	41.0	38.0	41.0
20-24	39.94745660346936	41.0	40.0	41.0	38.0	41.0
25-29	39.824960630516735	41.0	40.0	41.0	38.0	41.0
30-34	39.64254525387359	41.0	40.0	41.0	37.2	41.0
35-39	39.3967631248708	41.0	39.8	41.0	36.4	41.0
40-44	39.13634959847849	41.0	39.0	41.0	35.2	41.0
45-49	38.81468624201696	40.0	38.4	41.0	35.0	41.0
50-54	38.72852291517233	40.0	38.0	41.0	35.0	41.0
55-59	38.432172035043976	40.0	37.2	41.0	35.0	41.0
60-64	38.00179922365018	39.6	36.4	41.0	34.6	41.0
65-69	37.281718661353985	38.8	35.0	41.0	34.0	41.0
70-74	36.44667265855469	36.8	35.0	39.6	33.4	41.0
75-79	35.345937804954964	35.2	34.8	37.8	32.4	39.6
80-84	34.81633706638885	35.0	35.0	36.6	33.0	38.8
85-89	34.02757586565733	35.0	35.0	36.0	32.0	37.0
90	33.62324601312631	35.0	35.0	35.0	32.0	36.0
