#Base	%GC
1	43.991488826996616
2	41.88584145066227
3	40.91245445621193
4	43.54112685241922
5	42.03726733156791
6	43.1255672039612
7	42.64149620018009
8	41.880749134750616
9	42.35975290134184
10-14	42.659155544873975
15-19	42.599099077067336
20-24	42.82465465670518
25-29	42.92186990418397
30-34	43.113990724373785
35-39	43.04805388867295
40-44	43.17567484840165
45-49	43.119965938781974
50-54	43.178389221113086
55-59	43.1558139448812
60-64	43.22595424229572
65-69	43.1518412900927
70-74	43.16412927575311
75-79	43.14847961153333
80-84	43.17403825152557
85-89	43.16813463854559
90	43.20762762228126
