#GC Content	Count
0	44.0
1	48.0
2	57.5
3	81.5
4	141.5
5	250.0
6	357.0
7	492.5
8	720.0
9	1010.0
10	1168.0
11	1450.0
12	2142.0
13	3391.0
14	5911.0
15	10625.5
16	18849.0
17	32694.0
18	54579.5
19	88148.5
20	108487.0
21	136043.5
22	199683.0
23	282149.0
24	381962.5
25	498409.0
26	632383.0
27	779184.5
28	933999.5
29	1094312.5
30	1175654.0
31	1260062.0
32	1431052.5
33	1609451.0
34	1796046.5
35	1985098.5
36	2166883.5
37	2333895.0
38	2478368.0
39	2584766.5
40	2626191.0
41	2642110.0
42	2650046.5
43	2608618.0
44	2520431.5
45	2384909.0
46	2209920.0
47	2011786.0
48	1795341.5
49	1577273.0
50	1471722.0
51	1373284.5
52	1192261.0
53	1045854.0
54	931241.5
55	842595.0
56	772128.5
57	707584.5
58	646788.5
59	590502.0
60	563079.0
61	535462.0
62	485475.0
63	441308.0
64	399311.5
65	360493.5
66	322350.5
67	283937.5
68	244423.0
69	204218.0
70	184639.0
71	167176.5
72	133628.0
73	103939.5
74	79013.5
75	58565.5
76	42583.5
77	30374.5
78	21371.0
79	15030.0
80	12341.0
81	10629.0
82	7608.5
83	5473.5
84	3987.0
85	2764.5
86	1913.0
87	1328.5
88	875.5
89	601.5
90	485.0
91	426.0
92	301.0
93	201.0
94	137.0
95	88.0
96	56.0
97	33.5
98	15.5
99	7.0
100	7.0
